"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2024","4,158.30","4,200.05","4,217.00","4,114.90","2.20M","-0.29%"
"12/20/2024","4,170.30","4,329.00","4,382.00","4,152.50","4.12M","-2.38%"
"12/19/2024","4,271.90","4,282.00","4,364.00","4,262.00","3.02M","-1.75%"
"12/18/2024","4,347.85","4,311.70","4,362.00","4,289.60","1.58M","0.45%"
"12/17/2024","4,328.50","4,410.00","4,432.95","4,318.00","3.23M","-1.96%"
"12/16/2024","4,415.20","4,459.00","4,475.00","4,397.00","1.65M","-1.31%"
"12/13/2024","4,473.90","4,434.95","4,494.90","4,394.40","1.97M","0.43%"
"12/12/2024","4,454.95","4,430.05","4,485.00","4,426.00","1.91M","0.62%"
"12/11/2024","4,427.45","4,431.85","4,448.65","4,407.00","1.64M","-0.12%"
"12/10/2024","4,432.55","4,426.15","4,493.80","4,412.10","2.09M","-0.44%"
"12/09/2024","4,452.15","4,430.45","4,469.40","4,415.55","2.07M","0.15%"
"12/06/2024","4,445.50","4,453.00","4,465.00","4,412.75","1.84M","-0.42%"
"12/05/2024","4,464.05","4,400.80","4,489.00","4,360.00","3.75M","2.52%"
"12/04/2024","4,354.40","4,313.55","4,386.95","4,289.05","3.30M","1.20%"
"12/03/2024","4,302.75","4,314.35","4,325.00","4,265.45","2.01M","0.61%"
"12/02/2024","4,276.65","4,270.00","4,288.20","4,230.05","1.67M","0.14%"
"11/29/2024","4,270.85","4,220.00","4,298.70","4,195.65","2.02M","0.61%"
"11/28/2024","4,244.90","4,319.00","4,339.95","4,233.00","2.56M","-2.02%"
"11/27/2024","4,332.55","4,358.95","4,377.40","4,324.05","1.56M","-0.46%"
"11/26/2024","4,352.70","4,321.05","4,366.60","4,310.00","2.06M","0.87%"
"11/25/2024","4,315.10","4,280.00","4,328.10","4,252.20","4.05M","1.66%"
"11/22/2024","4,244.60","4,071.00","4,254.95","4,054.00","3.10M","4.22%"
"11/21/2024","4,072.85","4,044.90","4,092.45","4,024.00","2.38M","0.82%"
"11/19/2024","4,039.55","4,019.90","4,132.15","4,014.10","1.78M","0.50%"
"11/18/2024","4,019.50","4,213.00","4,213.00","3,990.20","3.31M","-3.05%"
"11/14/2024","4,145.90","4,135.00","4,160.00","4,116.45","1.83M","-0.11%"
"11/13/2024","4,150.35","4,178.10","4,196.75","4,131.05","1.10M","-1.12%"
"11/12/2024","4,197.40","4,216.00","4,218.00","4,164.35","1.59M","-0.03%"
"11/11/2024","4,198.70","4,128.20","4,234.30","4,117.65","1.41M","1.25%"
"11/08/2024","4,147.00","4,155.00","4,169.75","4,117.65","1.65M","-0.09%"
"11/07/2024","4,150.90","4,169.70","4,205.80","4,085.05","3.72M","0.27%"
"11/06/2024","4,139.65","4,003.60","4,149.80","3,975.25","3.79M","4.24%"
"11/05/2024","3,971.35","3,941.10","3,986.00","3,941.10","967.59K","0.18%"
"11/04/2024","3,964.15","3,966.30","3,991.90","3,913.25","2.27M","-0.50%"
"11/01/2024","3,984.20","3,989.85","3,998.95","3,976.05","154.90K","0.40%"
"10/31/2024","3,968.45","4,070.00","4,078.30","3,960.00","3.74M","-2.84%"
"10/30/2024","4,084.65","4,075.00","4,107.00","4,060.05","1.94M","0.23%"
"10/29/2024","4,075.25","4,095.85","4,103.50","4,060.10","1.45M","-0.38%"
"10/28/2024","4,090.85","4,068.95","4,134.00","4,051.00","1.53M","0.82%"
"10/25/2024","4,057.55","4,057.05","4,092.00","4,032.70","1.76M","0.24%"
"10/24/2024","4,047.90","4,004.00","4,079.00","4,004.00","2.68M","-0.45%"
"10/23/2024","4,066.25","3,999.60","4,113.55","3,995.15","1.97M","1.26%"
"10/22/2024","4,015.50","4,066.00","4,089.80","4,006.35","1.93M","-1.58%"
"10/21/2024","4,079.85","4,132.60","4,139.95","4,070.00","1.60M","-1.05%"
"10/18/2024","4,123.05","4,090.00","4,146.15","4,080.00","2.36M","0.34%"
"10/17/2024","4,109.00","4,112.80","4,129.95","4,092.95","2.52M","0.34%"
"10/16/2024","4,094.95","4,085.00","4,115.00","4,067.20","2.36M","-0.53%"
"10/15/2024","4,116.80","4,131.05","4,169.95","4,095.00","2.76M","-0.48%"
"10/14/2024","4,136.65","4,140.00","4,165.40","4,122.20","2.14M","-0.30%"
"10/11/2024","4,149.20","4,143.00","4,241.95","4,112.45","5.76M","-1.85%"
"10/10/2024","4,227.40","4,253.25","4,293.85","4,198.60","2.38M","-0.60%"
"10/09/2024","4,252.95","4,260.00","4,295.00","4,246.70","1.08M","-0.01%"
"10/08/2024","4,253.25","4,272.60","4,279.40","4,203.95","1.54M","-0.46%"
"10/07/2024","4,272.85","4,273.90","4,297.25","4,229.40","1.47M","0.48%"
"10/04/2024","4,252.25","4,225.00","4,298.00","4,224.05","2.97M","0.46%"
"10/03/2024","4,232.75","4,262.60","4,279.00","4,210.00","3.35M","-1.29%"
"10/01/2024","4,287.90","4,255.55","4,295.75","4,242.95","1.82M","0.45%"
"09/30/2024","4,268.50","4,286.90","4,298.75","4,260.05","2.50M","-0.93%"
"09/27/2024","4,308.70","4,335.00","4,378.00","4,300.05","3.01M","0.38%"
"09/26/2024","4,292.50","4,260.00","4,316.80","4,260.00","3.96M","0.42%"
"09/25/2024","4,274.75","4,252.35","4,289.60","4,240.00","2.71M","0.08%"
"09/24/2024","4,271.30","4,251.65","4,291.00","4,240.00","3.01M","0.07%"
"09/23/2024","4,268.50","4,300.00","4,309.40","4,253.00","1.70M","-0.38%"
"09/20/2024","4,284.90","4,316.90","4,330.70","4,227.50","5.45M","-0.26%"
"09/19/2024","4,296.15","4,390.05","4,422.20","4,281.80","2.93M","-1.15%"
"09/18/2024","4,346.15","4,497.05","4,497.05","4,321.00","2.96M","-3.54%"
"09/17/2024","4,505.65","4,513.25","4,535.80","4,466.00","1.70M","-0.17%"
"09/16/2024","4,513.25","4,527.00","4,546.05","4,494.45","1.16M","-0.21%"
"09/13/2024","4,522.60","4,530.00","4,547.00","4,505.00","1.46M","0.11%"
"09/12/2024","4,517.70","4,510.25","4,532.60","4,431.30","2.74M","0.86%"
"09/11/2024","4,479.35","4,521.45","4,549.35","4,471.25","1.33M","-0.63%"
"09/10/2024","4,507.85","4,442.45","4,539.95","4,440.45","1.39M","1.31%"
"09/09/2024","4,449.55","4,455.00","4,490.25","4,430.50","1.18M","-0.16%"
"09/06/2024","4,456.75","4,473.95","4,518.95","4,440.00","1.65M","-0.43%"
"09/05/2024","4,475.95","4,481.00","4,499.00","4,454.15","1.69M","-0.07%"
"09/04/2024","4,479.25","4,476.95","4,487.00","4,436.70","1.27M","-0.73%"
"09/03/2024","4,512.35","4,521.05","4,555.90","4,495.90","1.72M","-0.19%"
"09/02/2024","4,521.05","4,576.00","4,588.00","4,512.00","1.22M","-0.72%"
"08/30/2024","4,553.75","4,500.00","4,592.25","4,487.80","3.64M","0.93%"
"08/29/2024","4,511.80","4,460.00","4,556.00","4,460.00","2.13M","0.13%"
"08/28/2024","4,506.05","4,498.75","4,562.50","4,457.30","1.85M","0.20%"
"08/27/2024","4,497.15","4,505.00","4,510.00","4,486.80","930.70K","-0.12%"
"08/26/2024","4,502.45","4,489.00","4,552.15","4,485.00","1.84M","0.86%"
"08/23/2024","4,463.90","4,500.00","4,506.00","4,455.00","1.81M","-0.85%"
"08/22/2024","4,502.00","4,560.00","4,560.95","4,497.20","1.83M","-1.09%"
"08/21/2024","4,551.50","4,518.00","4,560.00","4,492.55","1.90M","0.62%"
"08/20/2024","4,523.30","4,505.00","4,565.00","4,500.00","2.21M","0.74%"
"08/19/2024","4,490.00","4,421.00","4,494.25","4,390.35","2.06M","1.67%"
"08/16/2024","4,416.05","4,350.00","4,427.00","4,325.10","3.46M","2.81%"
"08/14/2024","4,295.25","4,209.00","4,306.20","4,188.15","3.23M","2.34%"
"08/13/2024","4,196.95","4,213.00","4,234.00","4,183.00","1.50M","0.03%"
"08/12/2024","4,195.65","4,230.00","4,239.00","4,186.35","936.91K","-0.78%"
"08/09/2024","4,228.75","4,217.00","4,253.65","4,205.55","1.30M","1.35%"
"08/08/2024","4,172.55","4,181.00","4,232.00","4,160.00","2.44M","-0.66%"
"08/07/2024","4,200.45","4,228.00","4,244.95","4,180.30","1.24M","0.70%"
"08/06/2024","4,171.20","4,170.95","4,258.25","4,160.80","2.20M","0.39%"
"08/05/2024","4,155.05","4,239.00","4,239.00","4,110.50","2.79M","-2.99%"
"08/02/2024","4,283.05","4,365.00","4,398.00","4,270.00","2.81M","-2.59%"
"08/01/2024","4,397.10","4,399.40","4,419.30","4,365.05","2.20M","0.27%"
"07/31/2024","4,385.35","4,350.00","4,414.00","4,345.00","2.33M","0.46%"
"07/30/2024","4,365.35","4,391.10","4,398.00","4,327.30","1.80M","-0.36%"
"07/29/2024","4,381.10","4,415.00","4,431.00","4,371.00","1.75M","-0.15%"
"07/26/2024","4,387.85","4,350.00","4,422.45","4,337.05","3.55M","1.51%"
"07/25/2024","4,322.50","4,295.00","4,343.00","4,274.20","2.81M","0.38%"
"07/24/2024","4,306.25","4,287.50","4,339.10","4,268.10","1.81M","0.09%"
"07/23/2024","4,302.35","4,283.00","4,361.70","4,266.30","2.37M","0.35%"
"07/22/2024","4,287.35","4,299.95","4,319.95","4,265.00","1.90M","-0.35%"
"07/19/2024","4,302.40","4,317.40","4,358.75","4,285.25","3.90M","-0.30%"
"07/18/2024","4,315.55","4,160.00","4,325.00","4,160.00","5.61M","3.28%"
"07/16/2024","4,178.45","4,172.00","4,194.55","4,144.90","2.03M","0.22%"
"07/15/2024","4,169.20","4,235.70","4,240.00","4,157.05","4.85M","-0.35%"
"07/12/2024","4,183.95","3,980.00","4,199.95","3,971.30","13.51M","6.63%"
"07/11/2024","3,923.70","3,931.00","3,980.00","3,895.60","4.87M","0.37%"
"07/10/2024","3,909.15","3,983.70","4,003.30","3,902.00","2.67M","-1.92%"
"07/09/2024","3,985.50","3,985.00","4,006.95","3,975.10","1.31M","-0.19%"
"07/08/2024","3,993.20","4,022.00","4,031.25","3,978.05","1.76M","-0.46%"
"07/05/2024","4,011.80","4,010.00","4,026.75","3,988.00","1.67M","-0.23%"
"07/04/2024","4,020.95","3,999.85","4,047.35","3,982.10","2.52M","1.40%"
